monthly_income,repayment_history_score,utility_bill_regularity,years_in_business,debt_to_income_ratio,group_membership,income_stability_score,repaid_on_time
33875.26,0.3575,0.9601,4,0.4493,0,0.1945,0
7927.69,0.2762,0.2207,18,0.1203,0,0.9454,0
46488.15,0.5032,0.1056,17,0.605,1,0.1723,0
25385.54,0.2943,0.5248,3,0.4231,0,0.2652,1
43810.22,0.3436,0.9072,0,0.1598,0,0.3243,1
86073.29,0.4528,0.3113,15,0.5295,0,0.1386,0
27224.25,0.5057,0.8002,18,0.7158,1,0.5362,0
10538.76,0.9843,0.1692,15,0.5299,0,0.3413,0
31731.47,0.2233,0.7456,1,0.4767,0,0.6078,0
32891.41,0.488,0.557,13,0.7629,0,0.3679,1
67882.07,0.1495,0.175,8,0.0097,1,0.1164,0
57918.05,0.35,0.7181,19,0.5551,0,0.8726,0
79470.33,0.7173,0.7138,16,0.3687,1,0.5097,1
68109.79,0.1745,0.5154,16,0.1742,1,0.3219,0
43606.75,0.5814,0.2255,8,0.8816,0,0.0164,0
82331.94,0.4167,0.1323,6,0.3634,0,0.5978,0
20862.43,0.0516,0.9573,17,0.3017,1,0.7825,0
7157.65,0.9331,0.6558,2,0.1521,0,0.6501,1
13554.55,0.4136,0.8092,2,0.898,1,0.7877,1
73624.14,0.7839,0.697,1,0.7704,0,0.155,0
48878.34,0.4163,0.8295,10,0.063,0,0.9717,0
20320.82,0.9374,0.1625,1,0.5092,1,0.2113,1
52599.25,0.2905,0.497,12,0.1327,0,0.2668,0
19469.65,0.4122,0.6671,3,0.6442,1,0.5123,0
71150.44,0.7589,0.1034,18,0.4357,1,0.0052,0
47384.85,0.3437,0.15,9,0.0994,1,0.4424,0
41197.02,0.3644,0.634,1,0.5013,0,0.1957,0
33643.65,0.9948,0.8687,14,0.8196,0,0.749,0
64876.85,0.5556,0.6604,7,0.3071,0,0.7578,1
39372.2,0.6894,0.0362,5,0.0457,1,0.6157,0
13326.74,0.6435,0.9704,13,0.8507,1,0.4217,0
16210.56,0.8279,0.1395,20,0.1276,1,0.3102,0
96380.28,0.8618,0.2326,20,0.4275,1,0.8275,0
91315.17,0.5633,0.975,9,0.4902,0,0.5071,1
71472.18,0.2946,0.771,17,0.2134,1,0.4965,0
30257.65,0.0228,0.9366,4,0.1597,1,0.1134,0
97071.76,0.6144,0.8066,17,0.1018,1,0.2184,1
78981.34,0.8255,0.6517,19,0.063,0,0.3605,1
73104.57,0.4505,0.2846,10,0.4573,1,0.6989,0
47689.34,0.1647,0.3269,10,0.7578,1,0.8453,0
30862.95,0.2881,0.9473,11,0.1141,1,0.9929,0
14157.14,0.51,0.8606,1,0.6306,0,0.4274,0
90747.23,0.8367,0.3595,18,0.3714,0,0.4532,0
48298.75,0.1718,0.3733,15,0.0317,1,0.7661,0
24224.52,0.6121,0.2977,18,0.4824,0,0.3212,0
34065.88,0.7534,0.3261,2,0.2268,0,0.5405,0
60025.86,0.936,0.8607,16,0.5447,1,0.677,0
21793.41,0.1167,0.0105,7,0.3144,0,0.2362,0
86378.36,0.9264,0.4361,17,0.5998,1,0.2796,1
77059.36,0.6015,0.9428,20,0.8267,1,0.3562,0
73348.98,0.7667,0.5426,18,0.2201,0,0.5777,1
46048.84,0.0538,0.4504,19,0.8459,0,0.2704,1
64594.34,0.5061,0.3124,2,0.1839,1,0.2082,0
60489.31,0.6226,0.0739,6,0.0636,1,0.1495,0
66735.43,0.3068,0.2245,6,0.1734,1,0.8093,0
13022.21,0.4317,0.0905,10,0.7334,0,0.886,0
44501.7,0.5543,0.1267,20,0.6098,0,0.9047,0
8953.35,0.5525,0.1635,14,0.8738,0,0.8216,0
51929.13,0.0419,0.302,11,0.6388,0,0.1373,0
36336.82,0.4395,0.011,16,0.3714,1,0.0978,0
18729.8,0.2138,0.9501,3,0.8032,0,0.4992,0
14823.28,0.9167,0.1238,13,0.8623,1,0.5214,0
60826.23,0.9766,0.3831,10,0.7125,1,0.7328,0
21206.33,0.2996,0.8795,4,0.501,1,0.2229,0
92886.41,0.1752,0.1066,13,0.7432,0,0.9309,0
60200.81,0.2195,0.4836,17,0.1611,0,0.3099,0
37952.63,0.4778,0.8448,17,0.8103,0,0.5778,0
61136.97,0.8745,0.557,17,0.8996,1,0.8642,0
7166.37,0.5,0.2103,17,0.5986,0,0.5234,0
96063.13,0.0554,0.7355,9,0.1763,1,0.7536,0
50818.83,0.0399,0.6813,1,0.13,1,0.749,0
79359.85,0.2274,0.3622,20,0.8635,0,0.79,0
12859.35,0.8428,0.0463,9,0.7842,0,0.811,0
51232.54,0.6215,0.0079,13,0.6738,0,0.3925,0
51617.16,0.563,0.8254,0,0.8542,0,0.3636,0
94093.51,0.319,0.3216,18,0.4531,1,0.8035,0
59314.16,0.9294,0.1378,18,0.799,0,0.5797,0
49981.49,0.3312,0.5186,19,0.1465,1,0.6077,0
30362.69,0.8349,0.9208,3,0.1645,0,0.4119,1
36499.05,0.8959,0.0085,17,0.4611,1,0.2016,0
54463.88,0.4833,0.0561,13,0.2993,0,0.4569,0
46696.59,0.8943,0.417,3,0.3893,1,0.9696,0
7053.15,0.2768,0.676,11,0.7184,1,0.2909,0
83497.73,0.6584,0.4761,10,0.0481,0,0.272,1
90135.27,0.088,0.8975,13,0.6488,1,0.1308,0
18323.66,0.4739,0.0441,1,0.0794,0,0.4812,1
57633.43,0.2173,0.3401,11,0.7628,0,0.2885,0
15314.7,0.0628,0.3513,14,0.1817,0,0.6871,0
68862.81,0.0037,0.3401,15,0.6614,1,0.1351,0
31717.21,0.3248,0.4877,16,0.5327,0,0.2473,0
67645.15,0.5895,0.7906,13,0.3471,0,0.0619,0
74064.49,0.4552,0.3179,14,0.2408,0,0.0415,0
78021.51,0.3018,0.7445,1,0.0517,1,0.8141,0
15235.39,0.9912,0.1465,16,0.318,0,0.9059,0
92021.13,0.9395,0.5607,7,0.1805,0,0.7639,1
26870.33,0.1257,0.3751,11,0.1223,0,0.8652,1
8554.19,0.4151,0.5392,11,0.6646,1,0.0866,0
57710.98,0.6488,0.1077,20,0.1913,1,0.8981,0
40237.62,0.7335,0.9535,6,0.2008,1,0.466,1
83830.03,0.3664,0.9062,8,0.3064,1,0.7686,1
81783.89,0.7463,0.8264,15,0.4164,1,0.6158,0
35128.19,0.1242,0.8928,13,0.4623,1,0.3499,0
95525.44,0.3318,0.1467,6,0.5981,0,0.2648,0
32637.19,0.7164,0.5037,7,0.5297,0,0.1181,0
53930.43,0.6257,0.3179,17,0.4335,1,0.4127,0
29316.68,0.8372,0.8874,17,0.3545,0,0.4941,1
93924.14,0.0469,0.1894,3,0.2392,1,0.9831,0
20637.74,0.1744,0.2199,8,0.6389,1,0.0373,0
9266.51,0.0485,0.6867,16,0.2858,1,0.5901,0
46334.22,0.1921,0.0889,2,0.7646,0,0.525,0
99275.68,0.0043,0.7324,3,0.5275,0,0.0229,0
89709.34,0.5042,0.2681,3,0.5705,0,0.3297,0
76117.76,0.5283,0.6609,11,0.4579,0,0.4229,0
89625.29,0.6579,0.873,9,0.8357,0,0.4943,0
89877.43,0.3849,0.6096,6,0.3794,0,0.2335,0
54291.54,0.0032,0.2127,2,0.3843,0,0.0341,0
35013.26,0.6739,0.0492,13,0.8037,0,0.2938,0
78341.18,0.0543,0.0446,16,0.5444,0,0.8364,0
67857.82,0.8662,0.0888,4,0.4042,0,0.8079,0
40497.48,0.0227,0.5798,13,0.2359,0,0.1808,1
13974.33,0.5305,0.3482,16,0.2205,1,0.6463,0
75945.01,0.8949,0.2431,11,0.7213,1,0.9236,0
29933.75,0.5725,0.2193,12,0.2515,0,0.1721,0
93997.25,0.6084,0.9486,3,0.0052,1,0.1287,1
27892.2,0.6816,0.1188,20,0.0175,0,0.0221,0
16662.0,0.1224,0.3048,20,0.8806,1,0.1724,0
83955.7,0.6749,0.4715,14,0.5039,0,0.814,0
19562.01,0.8804,0.0004,18,0.4401,0,0.814,0
22030.49,0.9742,0.921,12,0.8261,1,0.5405,0
61941.37,0.4431,0.0991,13,0.3165,0,0.3336,0
88083.39,0.3445,0.6825,17,0.7155,1,0.8068,0
23661.29,0.7533,0.6289,0,0.6496,0,0.195,0
34480.75,0.5429,0.8091,4,0.4294,1,0.1399,0
78853.46,0.2573,0.6514,4,0.6972,1,0.0892,0
97323.51,0.1722,0.7694,13,0.8692,1,0.8513,0
52570.41,0.1702,0.4212,5,0.1805,0,0.7148,0
18670.26,0.4592,0.4887,8,0.0158,1,0.6246,0
6323.95,0.1701,0.7017,10,0.7393,1,0.7275,0
26817.32,0.0197,0.5684,15,0.3632,0,0.1435,0
17523.11,0.0521,0.5115,10,0.49,0,0.3848,0
69377.57,0.9299,0.2056,0,0.2002,1,0.8141,0
16574.09,0.073,0.2581,14,0.7576,1,0.9168,0
53101.34,0.0732,0.3585,8,0.6491,0,0.5131,0
70954.93,0.4512,0.0093,2,0.858,1,0.1221,0
60206.08,0.2451,0.4174,13,0.4277,1,0.9785,0
23978.69,0.9627,0.0028,5,0.8789,1,0.395,0
81391.83,0.911,0.565,9,0.4598,0,0.319,1
72963.68,0.4047,0.704,20,0.5593,1,0.12,0
75203.48,0.4487,0.5621,4,0.6067,1,0.0126,0
17450.49,0.3751,0.6935,18,0.4408,1,0.6037,0
16756.61,0.0379,0.0,9,0.5065,1,0.6124,1
93118.44,0.2928,0.0594,19,0.201,1,0.2342,0
42769.93,0.1227,0.6985,17,0.3261,0,0.162,0
33590.13,0.1024,0.8029,17,0.6318,0,0.528,0
51415.48,0.5609,0.7177,4,0.0351,1,0.4354,1
67972.1,0.0988,0.663,16,0.6304,0,0.3037,0
95784.21,0.1029,0.7074,7,0.2734,0,0.2182,0
32212.39,0.4805,0.7396,19,0.2447,1,0.8593,0
92856.8,0.4423,0.7244,20,0.6241,0,0.9838,0
7361.65,0.1376,0.738,12,0.1935,1,0.3556,0
57743.81,0.0044,0.074,19,0.8655,1,0.6981,0
65227.64,0.193,0.0633,11,0.8916,0,0.8655,0
15060.25,0.2359,0.3611,0,0.4123,1,0.0269,0
18332.26,0.8002,0.5276,18,0.3613,0,0.9081,1
44815.86,0.9154,0.7626,11,0.0711,1,0.4991,1
96792.03,0.4059,0.3347,0,0.7004,0,0.5567,0
61624.04,0.405,0.2751,1,0.1465,0,0.5399,0
93637.21,0.7125,0.7814,15,0.8397,1,0.2429,0
81414.29,0.6269,0.2493,19,0.8915,0,0.7822,0
49401.25,0.1841,0.8208,14,0.1102,1,0.7323,0
79552.53,0.1077,0.1771,9,0.6147,0,0.0958,0
6694.49,0.4376,0.3595,6,0.4194,0,0.5628,0
15368.68,0.5648,0.4011,8,0.487,1,0.957,0
83795.72,0.1387,0.2995,6,0.1616,0,0.8712,1
80697.62,0.2933,0.0034,5,0.6512,1,0.6259,1
27100.87,0.3059,0.2355,2,0.15,0,0.1987,0
55423.11,0.2613,0.3377,11,0.7968,0,0.3472,0
62571.5,0.4608,0.3136,4,0.4086,1,0.1504,0
87435.2,0.6531,0.7856,3,0.5714,0,0.8219,0
62295.18,0.5094,0.0474,5,0.8296,1,0.7787,0
44194.3,0.2015,0.3889,16,0.6641,0,0.9104,0
40547.48,0.1029,0.0375,12,0.4868,1,0.0634,0
45458.8,0.8219,0.9306,10,0.3624,0,0.9647,1
66933.45,0.4793,0.7902,12,0.4159,1,0.9664,0
87411.61,0.0621,0.9822,11,0.3075,0,0.6744,0
48120.2,0.2581,0.9102,10,0.8516,0,0.8817,0
28544.76,0.804,0.3158,17,0.2276,0,0.4384,0
27482.92,0.7517,0.6916,15,0.3684,0,0.3134,0
75871.36,0.8758,0.3066,3,0.7004,0,0.1544,0
82574.03,0.6021,0.8882,17,0.3279,0,0.0316,1
15001.42,0.4229,0.4108,3,0.7979,0,0.042,1
11323.09,0.4266,0.3759,1,0.2188,0,0.6916,0
61471.2,0.194,0.9141,8,0.0282,0,0.3366,0
18886.46,0.6508,0.8367,8,0.5659,1,0.0541,0
83343.1,0.5851,0.9664,16,0.4574,1,0.1122,1
34481.79,0.1549,0.0665,14,0.8398,1,0.6653,0
18667.83,0.8857,0.2433,1,0.3808,1,0.9387,0
92492.19,0.3685,0.3009,10,0.122,0,0.408,0
20725.51,0.0497,0.4244,16,0.2968,0,0.7777,0
32048.41,0.3279,0.4731,15,0.3539,1,0.9736,0
19593.27,0.8699,0.2915,10,0.5248,0,0.7083,0
15971.56,0.917,0.7905,12,0.2471,0,0.723,1
7009.06,0.4904,0.2232,11,0.4953,1,0.6159,0
10262.56,0.9563,0.6965,4,0.8172,1,0.9777,0
21590.94,0.8752,0.8518,11,0.3814,0,0.2998,1
10071.28,0.8252,0.6037,14,0.5864,1,0.783,0
61158.66,0.8597,0.3542,1,0.206,0,0.4151,0
69667.88,0.3819,0.1879,14,0.7212,0,0.1554,0
42394.89,0.7565,0.1343,5,0.2427,0,0.7394,0
35209.15,0.5773,0.7442,0,0.5218,0,0.8294,0
52929.99,0.7197,0.4691,15,0.2702,0,0.8636,1
88125.47,0.1778,0.0463,8,0.0607,0,0.9219,0
85857.5,0.7314,0.9838,8,0.2877,1,0.7449,1
9130.13,0.9576,0.6713,13,0.1908,0,0.5276,1
22242.35,0.3027,0.8442,11,0.8034,1,0.9387,0
27490.76,0.9862,0.4382,13,0.2395,0,0.2096,0
28691.82,0.3784,0.9554,19,0.877,0,0.0773,1
59267.1,0.1997,0.1995,13,0.4431,0,0.4316,1
44544.93,0.1123,0.1851,0,0.199,0,0.5822,0
9679.14,0.785,0.8903,4,0.3522,1,0.68,1
40493.34,0.5548,0.8917,9,0.1651,1,0.8154,1
54756.53,0.3071,0.499,9,0.7503,1,0.0268,0
14658.83,0.6085,0.1258,7,0.108,1,0.802,1
84178.56,0.3321,0.3052,3,0.7862,1,0.6001,0
9936.38,0.4484,0.7542,2,0.0413,1,0.9529,0
92859.98,0.8627,0.846,3,0.2696,1,0.3479,1
14415.75,0.6682,0.3477,19,0.1259,1,0.617,0
85139.62,0.7624,0.0612,8,0.6167,0,0.7665,0
90752.05,0.5835,0.6657,20,0.4611,0,0.5164,1
98059.21,0.9914,0.7395,7,0.8454,0,0.1559,0
81192.46,0.2414,0.424,6,0.3296,0,0.0498,0
79050.37,0.2623,0.5831,10,0.0367,1,0.1114,0
66035.91,0.0926,0.9874,19,0.6855,0,0.4949,0
79004.65,0.554,0.245,11,0.5216,1,0.6396,0
17782.46,0.6134,0.573,0,0.7447,1,0.5705,0
55926.46,0.726,0.611,5,0.3835,1,0.7129,1
53851.17,0.3354,0.5491,20,0.6644,0,0.039,0
86469.35,0.0123,0.8691,3,0.154,0,0.1363,0
48965.94,0.6322,0.605,17,0.8996,1,0.7611,1
41583.5,0.9987,0.5079,19,0.1563,1,0.7812,1
65758.51,0.2945,0.123,4,0.7468,1,0.7023,0
30314.02,0.1839,0.7032,11,0.1912,1,0.7454,0
18278.0,0.2818,0.1321,12,0.7043,1,0.9634,0
50398.34,0.4254,0.0266,16,0.7751,1,0.9442,0
44604.49,0.2509,0.4885,16,0.789,1,0.6445,0
27094.14,0.347,0.5724,1,0.4281,0,0.3193,0
39913.62,0.6382,0.9991,6,0.3859,0,0.0141,1
39807.28,0.345,0.7123,19,0.7504,0,0.6316,1
36112.08,0.3961,0.8486,7,0.5215,0,0.4313,0
41049.09,0.04,0.3464,5,0.5591,0,0.147,0
70145.62,0.9179,0.5089,13,0.2125,1,0.2153,1
33203.27,0.4069,0.9743,4,0.4015,1,0.9365,0
95141.5,0.3281,0.4174,3,0.3325,1,0.0662,0
92053.06,0.0865,0.8073,16,0.5988,1,0.7875,0
50686.49,0.6342,0.526,2,0.1768,1,0.902,1
36194.31,0.8638,0.224,18,0.3652,0,0.6883,1
55866.31,0.0412,0.5804,5,0.7639,1,0.0613,1
85613.25,0.1453,0.2181,2,0.4918,0,0.8459,0
66995.8,0.1464,0.003,15,0.8064,1,0.6533,0
81417.22,0.6023,0.2359,3,0.2093,1,0.277,0
55608.62,0.9212,0.1931,7,0.3959,0,0.6297,0
65127.17,0.4378,0.3709,7,0.4504,1,0.1365,0
32374.78,0.3438,0.8886,10,0.3605,0,0.7076,0
74814.85,0.7658,0.3879,9,0.616,0,0.903,0
24228.44,0.7426,0.8452,4,0.1338,1,0.5217,0
71005.82,0.2468,0.5556,4,0.4675,1,0.9521,0
86768.31,0.1608,0.0076,4,0.1249,1,0.4381,0
17549.77,0.3578,0.1887,1,0.5663,0,0.8576,0
63366.08,0.7756,0.9313,13,0.7472,1,0.7736,0
14034.1,0.6951,0.6042,9,0.018,1,0.0884,1
73942.98,0.6659,0.9295,2,0.4112,0,0.9127,1
13026.86,0.8294,0.3101,6,0.4434,1,0.9104,0
93914.28,0.2771,0.7166,14,0.6482,1,0.3514,0
18053.75,0.3397,0.772,5,0.0672,0,0.7934,0
96093.62,0.0423,0.9757,8,0.3654,0,0.2246,0
81084.0,0.8687,0.0182,15,0.7069,1,0.0304,0
61399.79,0.5824,0.9522,14,0.4789,0,0.2079,1
79349.29,0.2981,0.3916,14,0.6749,1,0.484,0
80535.91,0.0694,0.838,8,0.3276,0,0.0578,0
94872.57,0.7234,0.5447,10,0.8281,0,0.16,0
29071.42,0.7487,0.5646,17,0.0696,1,0.9504,1
61057.21,0.6662,0.3594,18,0.082,1,0.4938,0
14029.67,0.2038,0.8285,1,0.4756,0,0.8231,0
63535.74,0.9132,0.264,17,0.4237,1,0.2066,0
21272.67,0.7532,0.4922,18,0.5746,0,0.0885,0
58670.31,0.6578,0.5602,19,0.2062,1,0.7805,1
59380.9,0.6509,0.7425,5,0.2034,0,0.3488,1
49268.59,0.9044,0.4716,10,0.6742,1,0.4598,0
54650.02,0.9283,0.6803,0,0.2626,0,0.9921,1
77572.72,0.5956,0.4853,2,0.6546,0,0.3165,0
80928.25,0.4167,0.6593,11,0.5766,1,0.4731,1
51754.56,0.3637,0.6741,4,0.075,1,0.6348,0
61961.38,0.8191,0.7094,4,0.64,1,0.0891,0
93467.44,0.6446,0.8233,6,0.7916,1,0.7164,0
16374.69,0.0773,0.5407,9,0.735,1,0.4517,1
16124.84,0.1422,0.1933,3,0.008,1,0.175,0
13332.36,0.9002,0.6796,16,0.4857,0,0.4305,1
67497.01,0.8845,0.0771,14,0.822,1,0.4607,0
44767.79,0.9518,0.219,16,0.5389,0,0.6407,0
78560.53,0.4279,0.7922,19,0.2613,1,0.9371,0
68766.98,0.7841,0.4351,12,0.1751,0,0.7651,0
36695.59,0.8282,0.498,7,0.6165,1,0.3825,0
90344.82,0.3157,0.9874,20,0.6941,1,0.9696,0
77440.55,0.1453,0.2352,11,0.8213,1,0.7908,0
30700.82,0.997,0.0196,9,0.8151,1,0.028,1
39598.24,0.0302,0.1114,8,0.3054,0,0.1166,0
34871.8,0.5973,0.2445,0,0.5435,0,0.218,0
19973.11,0.6502,0.7259,20,0.0914,1,0.0835,1
19039.42,0.6818,0.7758,17,0.085,1,0.4854,1
93932.11,0.2556,0.5655,14,0.0643,0,0.3407,0
46600.88,0.7216,0.255,4,0.8344,0,0.9729,0
41415.38,0.2164,0.5217,19,0.1372,0,0.4727,1
74320.14,0.829,0.015,3,0.4341,1,0.2122,0
57534.34,0.2191,0.6818,5,0.3898,0,0.9707,0
93933.3,0.6967,0.6143,1,0.2923,1,0.5139,1
79128.64,0.7834,0.0218,6,0.484,1,0.0731,0
50540.11,0.1889,0.817,6,0.0025,1,0.0809,0
40754.15,0.238,0.7634,16,0.3421,0,0.6753,0
98730.0,0.7791,0.3082,6,0.4314,1,0.4948,0
73187.22,0.086,0.6354,20,0.723,0,0.6242,0
95363.49,0.1908,0.6015,6,0.6309,0,0.8497,0
16255.46,0.4555,0.1432,11,0.7648,0,0.6814,0
85800.7,0.9302,0.1933,12,0.3387,1,0.8618,0
65522.02,0.5619,0.6832,17,0.1268,1,0.7427,1
16582.56,0.3877,0.9336,15,0.361,0,0.6744,0
60884.51,0.9784,0.5763,18,0.8668,1,0.1347,0
70179.15,0.4637,0.5678,19,0.1929,1,0.4828,0
6168.76,0.4337,0.6467,2,0.1573,1,0.4331,0
48160.21,0.4116,0.4406,1,0.8499,0,0.5407,1
83412.95,0.3122,0.0542,9,0.8549,0,0.3911,0
33059.11,0.3257,0.3965,3,0.1343,0,0.6204,1
48562.07,0.6878,0.9003,10,0.6925,0,0.3925,0
47019.84,0.0408,0.8049,12,0.3868,1,0.5576,0
33683.1,0.6818,0.9274,5,0.443,0,0.3949,1
92251.98,0.2012,0.1528,2,0.4488,0,0.9018,0
79222.93,0.3842,0.506,20,0.8715,0,0.3734,0
15505.9,0.1465,0.5847,7,0.1662,0,0.7309,0
99718.29,0.5528,0.2099,17,0.6958,0,0.6137,0
88524.0,0.7294,0.201,13,0.0051,0,0.3855,0
31971.3,0.3547,0.782,13,0.5657,0,0.8076,1
84505.18,0.1634,0.6719,16,0.5874,1,0.9276,0
15109.86,0.2265,0.6472,5,0.6783,1,0.7605,0
99914.95,0.8181,0.267,4,0.8334,1,0.9486,0
68240.05,0.2676,0.5068,20,0.6785,0,0.4363,0
66761.88,0.7747,0.0231,14,0.6589,1,0.9137,0
13591.87,0.3312,0.1299,6,0.2284,1,0.8762,1
90218.17,0.1887,0.5183,13,0.8936,1,0.7624,0
7754.95,0.7273,0.3097,8,0.4216,1,0.8352,0
27878.67,0.4685,0.9657,18,0.3757,0,0.7301,0
18587.08,0.0313,0.4715,10,0.4517,1,0.5123,0
78792.95,0.9599,0.0836,6,0.3547,0,0.5524,0
23829.4,0.1478,0.0178,14,0.5343,0,0.4177,1
91510.63,0.3534,0.7253,15,0.3147,0,0.6643,0
67345.56,0.3848,0.1715,7,0.216,0,0.3248,0
8435.46,0.4894,0.1878,15,0.8352,1,0.7397,0
5515.83,0.7854,0.4238,4,0.835,0,0.5051,0
9907.5,0.0061,0.2641,5,0.4466,1,0.3532,0
62562.89,0.9325,0.6166,17,0.8659,0,0.1472,1
81140.77,0.646,0.4857,13,0.3741,0,0.2555,1
27662.52,0.9506,0.1115,0,0.3486,0,0.6402,0
85693.84,0.8174,0.7847,14,0.8252,0,0.3698,0
10437.03,0.9278,0.4259,6,0.5696,1,0.0332,0
81091.57,0.601,0.6108,5,0.6863,1,0.3297,0
93140.57,0.3573,0.0039,8,0.3715,1,0.3664,0
78350.3,0.4429,0.6264,9,0.3663,1,0.2343,0
71321.47,0.658,0.2828,18,0.075,1,0.2863,0
84608.12,0.4269,0.4944,9,0.8701,1,0.7049,0
8814.37,0.7317,0.2977,6,0.2052,0,0.7463,0
24169.3,0.0918,0.9963,16,0.4448,0,0.9589,0
16867.75,0.83,0.2308,11,0.1031,1,0.1181,0
52930.44,0.2042,0.9129,0,0.5823,0,0.3117,0
75792.87,0.9439,0.918,13,0.3518,1,0.077,1
64851.13,0.1555,0.421,10,0.6909,0,0.6133,0
85857.45,0.1292,0.304,12,0.4755,0,0.0164,0
19745.23,0.8119,0.381,3,0.1165,0,0.2054,0
74789.0,0.8187,0.9893,10,0.0097,1,0.587,1
23338.94,0.7388,0.6188,13,0.1912,1,0.3587,1
30722.08,0.9605,0.5448,14,0.6519,0,0.5444,0
72440.95,0.2705,0.0359,14,0.7457,0,0.6402,0
98119.45,0.8266,0.8478,20,0.3072,0,0.8389,1
63096.64,0.352,0.0838,10,0.4823,0,0.3929,0
10177.53,0.5374,0.047,9,0.216,1,0.2789,0
63549.35,0.4456,0.2749,11,0.7924,1,0.5388,0
9023.3,0.0059,0.4758,6,0.8687,1,0.0697,0
88993.84,0.5745,0.8953,6,0.6776,1,0.0419,0
72409.94,0.7475,0.7901,14,0.08,1,0.4522,1
